"Date","Overseas-acquired","Known local source","Unknown local source (community spread)","Interstate travel","Under investigation"
"03/03","5","0","0","0","0"
"04/03","6","0","0","0","0"
"05/03","9","0","0","0","0"
"06/03","4","0","0","0","0"
"07/03","1","0","0","0","0"
"08/03","1","0","0","0","0"
"09/03","5","0","0","0","0"
"10/03","5","0","0","0","0"
"11/03","7","0","0","0","0"
"12/03","6","0","0","0","0"
"13/03","0","0","0","0","0"
"14/03","4","1","0","0","0"
"15/03","3","0","0","0","0"
"16/03","1","0","0","0","0"
"17/03","5","1","0","0","0"
"18/03","8","0","0","0","0"
"19/03","1","0","0","0","0"
"20/03","2","0","0","0","0"
"21/03","5","0","0","0","0"
"22/03","4","0","0","0","0"
"23/03","2","0","0","0","0"
"24/03","4","0","0","0","0"
"25/03","3","0","0","0","0"
"26/03","2","0","0","0","0"
"27/03","3","0","0","0","0"
"28/03","0","0","0","0","0"
"29/03","4","0","0","0","0"
"30/03","4","0","0","0","0"
"31/03","4","1","0","0","0"
"01/04","2","0","0","0","0"
"02/04","0","0","0","0","0"
"03/04","3","0","0","0","0"
"04/04","1","0","0","0","0"
"05/04","4","0","0","0","0"
"06/04","9","0","0","0","0"
"07/04","5","0","0","0","0"
"08/04","1","0","0","0","0"
"09/04","3","0","0","0","0"
"10/04","5","0","0","0","0"
"11/04","7","0","0","0","0"
"12/04","6","0","0","0","0"
"13/04","3","1","0","0","0"
"14/04","4","0","0","0","0"
"15/04","11","1","0","0","0"
"16/04","1","0","0","0","0"
"17/04","7","2","0","0","0"
"18/04","4","0","0","0","0"
"19/04","9","0","0","0","0"
"20/04","4","0","0","0","0"
"21/04","7","0","0","0","0"
"22/04","15","0","0","0","0"
"23/04","5","0","0","0","0"
"24/04","1","0","0","0","0"
"25/04","4","0","0","0","0"
"26/04","7","0","0","0","0"
"27/04","16","0","0","0","0"
"28/04","12","0","0","0","0"
"29/04","17","0","0","0","0"
"30/04","2","0","0","0","0"
"01/05","4","0","0","0","0"
"02/05","2","0","0","0","0"
"03/05","8","0","0","0","0"
"04/05","9","0","0","0","0"
"05/05","7","0","0","0","0"
"06/05","7","1","1","0","0"
"07/05","4","0","0","0","0"
"08/05","5","0","0","0","0"
"09/05","7","0","0","0","0"
"10/05","6","0","0","0","0"
"11/05","4","0","0","0","0"
"12/05","2","0","0","0","0"
"13/05","5","0","0","0","0"
"14/05","3","0","0","0","0"
"15/05","2","0","0","0","0"
"16/05","2","0","0","0","0"
"17/05","2","0","0","0","0"
"18/05","3","0","0","0","0"
"19/05","2","0","0","0","0"
"20/05","2","0","0","0","0"
"21/05","0","0","0","0","0"
"22/05","3","0","0","0","0"
"23/05","0","0","0","0","0"
"24/05","2","0","0","0","0"
"25/05","2","0","0","0","0"
"26/05","2","0","0","0","0"
"27/05","0","0","0","0","0"
"28/05","4","0","0","0","0"
"29/05","2","0","0","0","0"
"30/05","3","0","0","0","0"
"31/05","2","0","0","0","0"
"01/06","0","0","0","0","0"
"02/06","1","0","0","0","0"
"03/06","2","0","0","0","0"
"04/06","0","0","0","0","0"
"05/06","4","0","0","0","0"
"06/06","3","0","0","0","0"
"07/06","4","0","0","0","0"
"08/06","8","0","0","0","0"
"09/06","1","0","0","0","0"
"10/06","2","0","0","0","0"
"11/06","2","0","0","0","0"
"12/06","0","0","0","0","0"
"13/06","1","0","0","0","0"
"14/06","8","0","0","0","0"
"15/06","4","0","0","0","0"
"16/06","1","0","0","0","0"
"17/06","1","2","0","0","1"
"18/06","0","1","0","0","0"
"19/06","5","2","0","0","0"
"20/06","6","1","0","0","0"
"21/06","1","2","0","0","0"
"22/06","0","5","0","0","0"
"23/06","2","16","0","0","1"
"24/06","0","12","0","0","0"
"25/06","1","21","0","0","0"
"26/06","0","27","0","0","1"
"27/06","3","24","0","1","0"
"28/06","2","19","0","0","2"
"29/06","2","14","0","0","0"
"30/06","8","22","0","0","1"
"01/07","1","29","0","0","1"
"02/07","4","27","0","0","0"
"03/07","8","30","0","0","4"
"04/07","2","21","0","0","1"
"05/07","0","30","0","0","1"
"06/07","1","15","0","0","1"
"07/07","1","29","0","0","4"
"08/07","1","27","0","0","10"
"09/07","1","41","0","0","4"
"10/07","3","40","0","0","10"
"11/07","4","86","0","0","17"
"12/07","7","100","0","0","15"
"13/07","1","57","0","0","16"
"14/07","3","65","1","0","24"
"15/07","0","28","0","0","21"
"16/07","1","63","0","0","34"
